"DATE","TSNW",
201106,0,
201107,0,
201108,0,
201109,0,
201110,50,4383
201111,664,
201112,1522,
201201,1049,
201202,754,
201203,286,
201204,51,
201205,7,
201206,0,
201207,0,
201208,0,
201209,0,
201210,16,4046
201211,189,
201212,422,
201301,935,
201302,963,
201303,737,
201304,511,
201305,273,
201306,0,
201307,0,
201308,0,
201309,0,
201310,0,
201311,804,
201312,439,
